"id";"nama";"kode";"kapasitas"
"3";"Masjid Jami UNIDA Gontor";"AMASJID";"1000"
"4";"Hall Hotel";"AHOTEL";"100"
"5";"Hall Centre for Islamic Occidental Studies (CIOS)";"ACIOS";"200"
"6";"Hall PascaSarjana";"APASCA";"200"
"7";"Hall Centre for Islamic Economic Studies (Cies) Lt 1";"ACIESLT1";"100"
"8";"Hall Centre for Islamic Economic Studies (Cies) Lt 2";"ACIESLT2";"150"
"9";"Hall Gedung Terpadu Lt 1";"AGETERLT1";"300"
"10";"Hall Gedung Terpadu Lt 2";"AGETERLT2";"200"
"11";"Hall Multimedia";"AGETERLT3";"200"
"12";"Hall Gedung Terpadu Lt 4";"AGETER4";"200"
"13";"Hall Utama Shirah Nabawiyah Lt 2";"ASHIRAH";"100"
"14";"Hall Shirah Nabawiyah Kecil";"ASHIRAH2";"50"
"15";"Meeting Corner Asrama Abu Bakar";"AABK";"200"
"16";"Meeting Corner Asrama Umar bin Khatab";"AUBK";"100"
"17";"Meeting Corner Asrama Ustman bin Affan";"AUSTMAN";"200"
"18";"Meeting Corner Asrama Ali bin Abi Thalib";"AALI";"100"
"19";"Lapangan Hijasu";"ALAPHJ";"25"
"20";"Lapangan Basket";"ALAPBK";"20"
"21";"Lapangan Takraw";"ALAPTK";"10"
"22";"Lapangan Olahraga depan Masjid Jami' UNIDA Gontor";"ALAPORM";"25"
"23";"Lapangan Olahraga depan Asrama Abu Bakar";"ALAPORAB";"25"
"24";"Lapangan Volly Asrama Abu Bakar";"ALAPVL";"20"
"25";"Lapangan Badminton Asrama Abu Bakar";"ALAPBDAB";"10"
"26";"Meeting Corner Asrama Zubair Bin Awwam";"AZUBAIR";"150"
"27";"Lapangan Futsal UNIDA";"AFTSUND";"30"
"28";"Lapangan Badminton Asrama Ustman bin Affan";"ALAPBDUSMN";"10"
"29";"Parkiran Barat Gedung Terpadu";"PKR";"500"
"30";"Media Sosial instagram";"AMSIG";"100"
"31";"Kantor Markaz Al-Quran";"AKNTMZQUR";"30"
